	step	epoch	lr	loss_step	accuracy_step	sharpness_init	lr_init	num_params
0	1.0	1.0	49.64288330078125	2.3086488246917725	0.140625	2.578415870666504	0.0	2751146
1	2.0	1.0	49.64288330078125	2.8510239124298096	0.109375	2.578415870666504	0.0	2751146
2	3.0	1.0	49.64288330078125	3.0103020668029785	0.0703125	2.578415870666504	0.0	2751146
3	4.0	1.0	49.64288330078125	4.378888130187988	0.09375	2.578415870666504	0.0	2751146
4	5.0	1.0	49.64288330078125	12.080924987792969	0.1015625	2.578415870666504	0.0	2751146
5	6.0	1.0	49.64288330078125	339.8986511230469	0.078125	2.578415870666504	0.0	2751146
6	7.0	1.0	49.64288330078125	54931.8671875	0.1171875	2.578415870666504	0.0	2751146
7	8.0	1.0	49.64288330078125	190279.46875	0.0625	2.578415870666504	0.0	2751146
8	9.0	1.0	49.64288330078125	156890251264.0	0.078125	2.578415870666504	0.0	2751146
9	10.0	1.0	49.64288330078125		0.0625	2.578415870666504	0.0	2751146
